*ELEMENT, TYPE=C3D4
7002, 155, 155, 5552, 5551, 5622
5696, 156, 156, 5425, 5551, 5379
5278, 157, 157, 4747, 4748, 4934
4886, 158, 158, 3238, 3475, 3335
3156, 159, 159, 3812, 4122, 3898
3793, 160, 160, 2579, 2874, 2402
2484, 161, 161, 9318, 9298, 9099
9433, 162, 162, 2040, 2070, 2291
1884, 163, 163, 4483, 4306, 4624
4676, 164, 164, 5014, 5251, 5288
5161, 165, 165, 4827, 4559, 4593
4616, 166, 166, 8878, 8796, 8903
8681, 167, 167, 3187, 3312, 3074
3308, 168, 168, 2396, 2910, 2684
2811, 169, 169, 3097, 2826, 2999
3186, 170, 170, 3210, 2857, 2955
3194, 171, 171, 3475, 3488, 3238
3328, 172, 172, 3094, 2963, 3343
3223, 173, 173, 6599, 6507, 6446
6603, 174, 174, 10470, 10052, 10402
10513, 175, 175, 3654, 3865, 3588
3603, 176, 176, 10215, 9915, 9931
9783, 177, 177, 5246, 4976, 5120
5004, 178, 178, 8396, 7958, 8130
8131, 179, 179, 6033, 6192, 6060
6211, 180, 180, 5473, 5414, 5535
5244, 181, 181, 3920, 3902, 3773
3664, 182, 182, 79, 151, 659
152, 183, 183, 7637, 7896, 7624
7772, 184, 184, 5425, 5550, 5352
5514, 185, 185, 3614, 3857, 3628
3735, 186, 186, 3215, 3321, 3379
3207, 187, 187, 5070, 5264, 5258
5215, 188, 188, 1841, 1778, 2259
1864, 189, 189, 2006, 2453, 2155
2245, 190, 190, 8647, 8796, 8878
8681, 191, 191, 10578, 10990, 10966
10565, 192, 192, 2513, 2312, 2549
2732, 193, 193, 6381, 6128, 6200
6243, 194, 194, 2070, 2291, 1884
2288, 195, 195, 5264, 5487, 5258
5215, 196, 196, 7975, 7793, 8001
7808, 197, 197, 1083, 433, 435
406, 198, 198, 7790, 8029, 8101
8097, 199, 199, 9146, 9456, 9365
9371, 200, 200, 10096, 10493, 10392
10468, 201, 201, 3654, 3285, 3486
3504, 202, 202, 4285, 4188, 4409
4264, 203, 203, 2544, 2161, 2208
2070, 204, 204, 2042, 1914, 1565
2031, 205, 205, 3260, 3091, 2851
3194, 206, 206, 3091, 2955, 2851
3194, 207, 207, 3865, 3761, 3762
3588, 208, 208, 4850, 4878, 5002
5121, 209, 209, 2227, 2650, 2473
2657, 210, 210, 7690, 7604, 7688
7473, 211, 211, 8617, 8536, 8397
8243, 212, 212, 6583, 6734, 6700
6538, 213, 213, 9796, 9989, 9644
9948, 214, 214, 4549, 4190, 4397
4358, 215, 215, 10985, 10957, 10537
10920, 216, 216, 10580, 10963, 11017
10643, 217, 217, 7002, 7191, 6988
6944, 218, 218, 8251, 8074, 8267
8423, 219, 219, 5037, 5116, 5309
5038, 220, 220, 7839, 7955, 8046
8096, 221, 221, 7355, 7233, 7546
7432, 222, 222, 11128, 11144, 10796
11121, 223, 223, 8074, 8423, 8149
8243, 224, 224, 11065, 10741, 10681
10702, 225, 225, 6583, 6591, 6812
6852, 226, 226, 9387, 9710, 9584
9760, 227, 227, 9809, 9773, 10118
9896, 228, 228, 10788, 11142, 10750
10813, 229, 229, 1169, 1521, 1538
1692, 230, 230, 6812, 6715, 6852
6847, 231, 231, 3743, 3695, 3639
3566, 232, 232, 9658, 9790, 9729
10027, 233, 233, 9382, 9442, 9297
9268, 234, 234, 2642, 2591, 2874
2484, 235, 235, 10689, 10701, 10609
10285, 236, 236, 6558, 6810, 6705
6739, 237, 237, 1275, 1285, 1194
583, 238, 238, 8388, 8584, 8668
8719, 239, 239, 1491, 1057, 1570
1613, 240, 240, 4215, 4483, 4216
4411, 241, 241, 1789, 1671, 1735
1261, 242, 242, 1509, 1914, 1416
1852, 243, 243, 1563, 1914, 1469
1565, 244, 244, 6619, 6620, 6423
6463, 245, 245, 5606, 5621, 5676
5491, 246, 246, 7769, 7481, 7610
7738, 247, 247, 7044, 6829, 7051
6968, 248, 248, 6558, 6400, 6478
6598, 249, 249, 2300, 2646, 2529
2515, 250, 250, 7375, 7200, 7426
7473, 251, 251, 10307, 10738, 10718
10287, 252, 252, 5560, 5561, 5459
5736, 253, 253, 4757, 4756, 4828
4627, 254, 254, 5116, 5037, 4984
5038, 255, 255, 10332, 9997, 10007
10123, 256, 256, 1593, 1055, 1049
1659, 257, 257, 4852, 4689, 4843
4855, 258, 258, 1682, 1618, 1745
2084, 259, 259, 5086, 5020, 4868
5200, 260, 260, 9047, 8984, 8954
8855, 261, 261, 7802, 8075, 7957
7971, 262, 262, 4824, 5055, 4915
4790, 263, 263, 4225, 3963, 4151
4101, 264, 264, 9589, 9485, 9277
9615, 265, 265, 7927, 7823, 7779
7753, 266, 266, 3695, 3964, 3885
3836, 267, 267, 7012, 6798, 6714
7036, 268, 268, 8593, 8465, 8777
8594, 269, 269, 7230, 6945, 7118
7165, 270, 270, 9371, 9460, 9167
9459, 271, 271, 2714, 2706, 2276
2460, 272, 272, 3823, 3695, 3743
3696, 273, 273, 4673, 4492, 4587
4493, 274, 274, 1618, 1928, 1957
2084, 275, 275, 1193, 1268, 1280
1708, 276, 276, 7108, 6970, 7253
7287, 277, 277, 101, 67, 652
75, 278, 278, 8783, 8639, 8607
8474, 279, 279, 5511, 5751, 5567
5568, 280, 280, 2749, 2849, 2493
2562, 281, 281, 3784, 3841, 4037
3895, 282, 282, 2091, 2405, 2539
2477, 283, 283, 7462, 7419, 7507
7634, 284, 284, 3848, 4155, 4003
4010, 285, 285, 5220, 5245, 5213
4982, 286, 286, 1679, 1899, 1529
1502, 287, 287, 7915, 7785, 7542
7678, 288, 288, 120, 686, 609
599, 289, 289, 10929, 10946, 10487
10960, 290, 290, 9740, 9505, 9799
9636, 291, 291, 1105, 1637, 1111
1187, 292, 292, 4785, 4516, 4590
4652, 293, 293, 9417, 9093, 9218
9108, 294, 294, 10083, 10087, 10166
10308, 295, 295, 8896, 9138, 8993
8881, 296, 296, 5067, 5050, 4911
4964, 297, 297, 8085, 8231, 8263
8437, 298, 298, 4458, 4259, 4408
4255, 299, 299, 11116, 11152, 10801
11133, 300, 300, 10580, 10961, 11015
11017, 301, 301, 2285, 2018, 2418
2102, 302, 302, 11127, 11145, 10794
10771, 303, 303, 10408, 9975, 10289
10246, 304, 304, 11029, 11105, 10743
11063, 305, 305, 9425, 9058, 9225
9353, 306, 306, 11182, 11184, 10858
11185, 307, 307, 8761, 8598, 8665
8754, 308, 308, 9426, 9286, 9301
9176, 309, 309, 11138, 11160, 10794
11132, 310, 310, 10960, 10528, 10946
10487, 311, 311, 79, 659, 623
152, 312, 312, 10555, 10634, 10276
10251, 313, 313, 10545, 10615, 10542
10975, 314, 314, 9678, 9828, 9530
9680, 315, 315, 9346, 9429, 9531
9338, 316, 316, 7891, 8195, 7986
8077, 317, 317, 8344, 8199, 8208
8425, 318, 318, 3495, 3198, 3254
3368, 319, 319, 284, 310, 253
916, 320, 320, 7981, 7761, 8151
7766, 321, 321, 7131, 6870, 6933
7010, 322, 322, 10957, 10537, 10920
10455, 323, 323, 7339, 7092, 7093
7228, 324, 324, 10603, 10496, 10395
