Dataset,PeakTwist,ESTwist,SystolicTwist,DiastolicUntwist,TwistRate_Max,TwistRate_Min,Twist_Mean,Twist_Std,Twist_CV,Twist_Range
"$S4, 90^{\circ}$",5.222584522993573,3.765447919772761,5.222584522993573,6.741590281959195,1.649017849697946,-1.9192161500436429,1.4893813715886002,2.440261173068979,163.84394350697121,8.198726885180008
"$S5,90^{\circ}$",4.267350185376204,-1.4554756096114714,4.267350185376204,-0.032786757627373486,1.537539509116126,-2.352916704061151,-0.6891344659980295,2.5407109146868367,368.68144608139534,7.742836817710627
