Dataset,Region,Temporal_Mean,Temporal_Std,Temporal_Median,Temporal_Min,Temporal_Max,Temporal_Range,Temporal_Q25,Temporal_Q75,Temporal_IQR,Temporal_CV,Temporal_RMS,Temporal_Skewness,Temporal_Kurtosis,Spatial_Mean,Spatial_Std,Spatial_CV,Spatial_Range
"$S4, 90^{\circ}$",Apex,-6.968533727316607,3.8171186243089332,-7.618472100169053,-11.391542583751068,0.1505786959702604,11.542121279721329,-10.206233502787784,-4.763245397453163,5.442988105334621,54.77649637176689,7.901710484881629,0.5767329606810759,-0.9793274103431409,0.06128606982201314,1.7065929156071515,2784.634290571144,6.2825581349
"$S4, 90^{\circ}$",Base,-8.453394583512672,5.854864435469398,-7.756208795113331,-17.520752113191314,0.0,17.520752113191314,-13.934707855221497,-2.736064893320915,11.198642961900582,69.26051277540748,10.203281990265204,-0.09717305911870729,-1.488846952226304,-1.1568973963024967,1.6260212666815879,140.55017081708675,6.282506247980001
"$S4, 90^{\circ}$",Mid,-7.726027115496652,3.9380169767429325,-7.477340435521355,-12.394787021484877,0.0,12.394787021484877,-11.125387430860401,-5.888620734591756,5.236766696268646,50.97078896919953,8.629078604897487,0.624525630663126,-0.7971209307190854,-0.13321288965309636,1.7792627593495745,1335.6536022775315,6.28160717912
"$S5,90^{\circ}$",Apex,-3.4459123699783176,2.812212939563414,-2.9715511978744686,-8.51230631593906,0.11208618181803587,8.624392497757096,-5.811343452009202,-0.8269978117161365,4.984345640293066,81.61011185496598,4.4052532797943655,-0.3131724207092388,-1.2730552989328332,0.14491828439935234,1.646104676721163,1135.8847391437373,6.28145929293
"$S5,90^{\circ}$",Base,-2.7925258875959966,4.8011684921570446,-1.6756129038341214,-15.414426239591492,2.669544448088452,18.083970687679944,-3.8636294008873833,0.0,3.8636294008873833,171.9292384533713,5.454515801881177,-1.172825541017028,0.7300480347447142,-0.853609929958675,1.6675800225701172,195.35621178292152,6.27741919498
"$S5,90^{\circ}$",Mid,-3.1605008701758583,2.6806830439267917,-2.199782949419053,-8.319835021200866,0.28699133815532385,8.606826359356191,-4.713769786934761,-1.1622142563951585,3.5515555305396025,84.81829792306407,4.102759306090531,-0.7254144474522638,-0.7506535192221095,-0.04544787465718819,1.7274187792254516,3800.87912197284,6.28242146915
